Artifact #,site,period,additional looks,class,is_valid,indicative,additional,material,height[cm],width[cm],diameter[cm],length[cm],object name,,orig site,orig period
1679,Maresha- T.,Hellenistic,0,0,1,yes,,Pottery,13,16,none,,"Fragment;Brazier;Decorated in Relief, Male Figure",,Maresha- T.,Hellenistic
1680,Jerusalem- Old City- Western and Southern Walls,Middle Roman - Late Roman,1,154,1,yes,,Pottery,none,none,none,,"Bread Stamp;Inscribed, Engraved, Latin",,Jerusalem- Old City- Western and Southern Walls,Middle Roman - Late Roman
1681,`En Gedi,Byzantine,2,45,1,yes,,Pottery,none,none,none,,Bread Stamp;,,`En Gedi,Byzantine
1682,Gov- H.,Byzantine,1,1038,1,yes,,Limestone,none,none,14,,"Fragment;Bread Stamp;Inscribed, Greek",,Gov- H.,Byzantine
1683,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,3.8,none,,Broad Carinated Scraper on Thick Flake;,,Me`arat ha-Nahal,Upper Palaeolithic
1684,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.6,none,,Broad Carinated Scraper on Thick Flake;,,Me`arat ha-Nahal,Upper Palaeolithic
1685,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,4.7,none,,Broad Carinated Scraper on Thick Flake;,,Me`arat ha-Nahal,Upper Palaeolithic
1686,Jerusalem- Rockefeller Museum,Late Roman,0,244,1,yes,,"Gold,Chalcedony",none,3.1,none,,Brooch;,,Jerusalem- Rockefeller Museum,Late Roman
1687,Gush Halav,Byzantine,1,151,1,yes,,Gold,none,none,2.1,,Brooch;Openwork,,Gush Halav,Byzantine
1688,Horevot Mazada,Roman,0,13,1,yes,,"Reed,Palm Leaf/Fibre",none,10.5,none,,Fragments;Brush;,,Horevot Mazada,Roman
1689,Hammat,Fatimid,2,119,1,yes,,Bronze,none,none,9.3,,Bucket;With Inscription,,Hammat,Fatimid
1690,`Atlit,Crusader,0,94,1,yes,,Bone,none,none,none,,Buckle;Belt (?),,`Atlit,Crusader
1691,`Atlit,Crusader,0,94,1,yes,,Bone,none,none,none,,"Buckle;Belt (?), Engraved",,`Atlit,Crusader
1692,Nizzana,Late Byzantine,0,197,1,yes,,"Glass,Bronze",none,3.5,none,,Buckle;,,Nizzana,Late Byzantine
1693,`Atlit,Crusader,0,94,1,yes,,Bone,none,3.6,none,,Buckle;Incised,,`Atlit,Crusader
1694,Megiddo- T.,Late Bronze II,0,27,1,yes,,Bronze,none,none,none,,Buckle;,,Megiddo- T.,Late Bronze II
1695,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Thread",none,1.45,none,,Bulla;,,Magharat Abu Shinja,Persian
1696,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen,Thread",none,1.45,none,,Bulla;,,Magharat Abu Shinja,Persian
1697,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.35,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1698,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.35,none,,Bulla;,,Magharat Abu Shinja,Persian
1699,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.2,none,,Bulla;,,Magharat Abu Shinja,Persian
1700,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1701,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads,Papyrus",none,1.2,none,,Bulla;,,Magharat Abu Shinja,Persian
1702,Magharat Abu Shinja,invalid,0,invalid,0,yes,,"Clay,Linen,Threads",none,1.45,none,,Bulla;,2,Magharat Abu Shinja,invalid
1703,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1704,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Papyrus",none,1.45,none,,Bulla;,,Magharat Abu Shinja,Persian
1705,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.8,none,,Thread;Bulla;,,Magharat Abu Shinja,Persian
1706,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.7,none,,Bulla;,,Magharat Abu Shinja,Persian
1707,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1708,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.3,none,,Bulla;,,Magharat Abu Shinja,Persian
1709,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.3,none,,Bulla;,,Magharat Abu Shinja,Persian
1710,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.35,none,,Bulla;,,Magharat Abu Shinja,Persian
1711,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.3,none,,Thread#%Papyrus;Bulla;,,Magharat Abu Shinja,Persian
1712,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,2,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1713,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1714,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen,Thread",none,1.2,none,,Bulla;,,Magharat Abu Shinja,Persian
1715,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.73,none,,Bulla;,,Magharat Abu Shinja,Persian
1716,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Thread,Papyrus",none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1717,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Thread",none,1.4,none,,Bulla;,,Magharat Abu Shinja,Persian
1718,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.4,none,,Thread;Bulla;,,Magharat Abu Shinja,Persian
1719,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Thread",none,1.5,none,,Bulla;,,Magharat Abu Shinja,Persian
1720,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1721,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen,Threads,Papyrus",none,1.55,none,,Bulla;,,Magharat Abu Shinja,Persian
1722,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.4,none,,Bulla;,,Magharat Abu Shinja,Persian
1723,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Thread,Papyrus",none,1.5,none,,Bulla;,,Magharat Abu Shinja,Persian
1724,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.5,none,,Bulla;,,Magharat Abu Shinja,Persian
1725,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.9,none,,Bulla;Charred,,Magharat Abu Shinja,Persian
1726,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1727,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen,Threads",none,1.55,none,,Bulla;,,Magharat Abu Shinja,Persian
1728,Magharat Abu Shinja,Persian,0,39,1,yes,,"Linen,Threads",none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1729,Magharat Abu Shinja,invalid,0,invalid,0,yes,,"Clay,Linen,Thread,Papyrus",none,1.4,none,,Bulla;,,Magharat Abu Shinja,invalid
1730,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads,Papyrus",none,1.5,none,,Bulla;,,Magharat Abu Shinja,Persian
1731,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.75,none,,Bulla;,,Magharat Abu Shinja,Persian
1732,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Threads",none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1733,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen,Thread",none,0.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1734,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen,Thread",none,1.6,none,,Bulla;,,Magharat Abu Shinja,Persian
1735,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.9,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1736,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.55,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1737,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.9,none,,Thread#%Papyrus;Bulla;,,Magharat Abu Shinja,Persian
1738,Magharat Abu Shinja,Persian,1,39,1,yes,,Clay,none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1739,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.85,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1740,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.85,none,,Bulla;,,Magharat Abu Shinja,Persian
1741,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.2,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1742,Magharat Abu Shinja,Persian,1,39,1,yes,,"Linen,Material",none,1.65,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1743,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.55,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1744,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.9,none,,Bulla;,,Magharat Abu Shinja,Persian
1745,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.8,none,,Bulla;,,Magharat Abu Shinja,Persian
1746,Magharat Abu Shinja,Persian,0,39,1,yes,,Clay,none,1.7,none,,Bulla;,,Magharat Abu Shinja,Persian
1747,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.1,none,,Thread;Bulla;,,Magharat Abu Shinja,Persian
1748,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.7,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1749,Magharat Abu Shinja,Persian,1,39,1,yes,,"Clay,Linen",none,1.65,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1750,Magharat Abu Shinja,Persian,0,39,1,yes,,"Clay,Linen",none,1.4,none,,Threads;Bulla;,,Magharat Abu Shinja,Persian
1751,Jerusalem- City of David,Iron II,2,4,1,yes,,Clay,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1752,Jerusalem- City of David,Iron II,1,4,1,yes,,Clay,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1753,Lakhish- T.,Iron II,1,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1754,Bet She'an- T.,Late Bronze II,1,26,1,yes,,Clay,none,none,none,,Bulla;,,Bet She'an- T.,Late Bronze II
1755,Bet She'an- T.,Middle Bronze II,1,50,1,yes,,Clay,none,none,none,,Bulla;Canaanite,,Bet She'an- T.,Middle Bronze II
1756,Bet She'an- T.,Late Bronze II,1,26,1,yes,,Clay,none,none,none,,Bulla;,,Bet She'an- T.,Late Bronze II
1757,Beth Zur,Iron II,3,396,1,yes,,Pottery,none,1.3,none,,"Bulla;Inscribed, Hebrew",,Beth Zur,Iron II
1758,Ashqelon- T. Ashqelon,Iron II,1,40,1,yes,,Clay,none,none,none,,Bulla;,,Ashqelon- T. Ashqelon,Iron II
1759,Ashqelon- T. Ashqelon,Iron II,1,40,1,yes,,Clay,none,none,none,,Fragment;Bulla;,,Ashqelon- T. Ashqelon,Iron II
1760,Ashqelon- T. Ashqelon,Iron II,1,40,1,yes,,Clay,none,none,none,,Fragment;Bulla;,,Ashqelon- T. Ashqelon,Iron II
1761,Jerusalem- Old City- Western and Southern Walls,Late Roman,0,1221,1,yes,,Clay,none,none,none,,"Bulla;Semi-Divine/Divine Figure, Mars",,Jerusalem- Old City- Western and Southern Walls,Late Roman
1762,Samaria,Hellenistic,3,174,1,yes,,Clay,none,none,none,,"Bulla;Impressed with Stamp Seal, Human/Semi-Divine/Divine Image, Griffin",,Samaria,Hellenistic
1763,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,5,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1764,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,4,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1765,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,6,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1766,Jerusalem- City of David,Iron II,2,4,1,yes,,Clay,none,none,1,,"Bulla;With Inscription, Hebrew",,Jerusalem- City of David,Iron II
1767,Jerusalem- City of David,Iron II,0,4,1,yes,,Clay,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1768,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1769,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1770,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1771,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1772,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1773,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,Bulla;,,Lakhish- T.,Iron II
1774,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1775,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1776,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1777,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1778,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1779,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Lakhish- T.,Iron II
1780,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,Bulla;,,Lakhish- T.,Iron II
1781,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,Bulla;,,Lakhish- T.,Iron II
1782,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,Bulla;,,Lakhish- T.,Iron II
1783,Lakhish- T.,Iron II,0,1,1,yes,,Pottery,none,none,none,,Bulla;,,Lakhish- T.,Iron II
1784,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1785,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1786,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1787,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1788,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1789,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1790,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1791,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1792,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1793,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1794,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1795,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1796,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1797,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1798,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1799,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1800,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,Bulla;,,Jerusalem- City of David,Iron II
1801,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1802,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1803,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1804,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1805,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1806,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1807,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1808,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1809,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1810,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1811,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1812,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1813,Jerusalem- City of David,Iron II,1,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1814,Jerusalem- City of David,Iron II,1,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1815,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1816,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1817,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1818,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1819,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1820,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1821,Jerusalem- City of David,Iron II,0,4,1,yes,,Pottery,none,none,none,,"Bulla;Inscribed, Hebrew",,Jerusalem- City of David,Iron II
1822,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,4,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1823,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,2.9,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1824,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,4.4,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1825,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,4.5,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1826,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,2,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1827,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,none,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1828,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,3.8,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1829,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1830,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1831,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,1.7,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1832,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1833,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1834,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,2.5,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1835,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1836,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,1.5,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1837,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1838,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,2,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1839,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1840,`En Besor,Early Bronze IB,2,49,1,yes,,Pottery,none,3.5,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1841,`En Besor,Early Bronze IB,1,49,1,yes,,Pottery,none,3,none,,Bulla;Egyptian,,`En Besor,Early Bronze IB
1842,Me`arot Yonim,Upper Palaeolithic,1,invalid,1,no,,Flint,none,none,none,,Burin;,,Me`arot Yonim,Upper Palaeolithic
1843,Har Qedumim,Middle Palaeolithic,1,invalid,1,no,,Flint,none,none,none,,Burin;,,Har Qedumim,Middle Palaeolithic
1844,Me`arat Tannur,Middle Palaeolithic,1,invalid,1,no,,Flint,none,3.8,none,,Burin;,,Me`arat Tannur,Middle Palaeolithic
1845,Me`arat Kebara,Upper Palaeolithic,1,107,1,yes,,Flint,none,1.2,none,,Burin;,,Me`arat Kebara,Upper Palaeolithic
1846,Nahal Zin,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.6,none,,Burin;,,Nahal Zin,Upper Palaeolithic
1847,Besamon,Pottery Neolithic,1,28,1,yes,,Flint,none,2.3,none,,Burin;,,Besamon,Neolithic
1848,Magharat Shuqba,Middle Palaeolithic,1,invalid,1,no,,Flint,none,3.2,none,,Burin;,,Magharat Shuqba,Middle Palaeolithic
1849,Me`arat Tannur,Middle Palaeolithic,1,invalid,1,no,,Flint,none,1.9,none,,Burin;,,Me`arat Tannur,Middle Palaeolithic
1850,Me`arat Tannur,Middle Palaeolithic,1,invalid,1,no,,Flint,none,1.9,none,,Burin;,,Me`arat Tannur,Middle Palaeolithic
1851,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.1,none,,Burin;,,Me`arat ha-Nahal,Upper Palaeolithic
1852,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.8,none,,Burin;,,Me`arat ha-Nahal,Upper Palaeolithic
1853,Me`arat ha-Nahal,Upper Palaeolithic,2,invalid,1,no,,Flint,none,2.9,none,,Burin;,,Me`arat ha-Nahal,Upper Palaeolithic
1854,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,3.1,none,,Burin;,,Me`arat ha-Nahal,Upper Palaeolithic
1855,Me`arat ha-Nahal,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.5,none,,Burin;,,Me`arat ha-Nahal,Upper Palaeolithic
1856,Nahal Zin,Upper Palaeolithic,1,invalid,1,no,,Flint,none,3.4,none,,Burin on break;,,Nahal Zin,Upper Palaeolithic
1857,Me`arat Sefunim,Upper Palaeolithic,1,invalid,1,no,,Flint,none,3.7,none,,Burin on Convex Truncation;,,Me`arat Sefunim,Upper Palaeolithic
1858,Magharat Shuqba,Natufian,1,invalid,1,no,,Flint,none,1.9,none,,Burin on Convex Truncation;,,Magharat Shuqba,Natufian
1859,Me`arat ha-Gulgolet,Lower Palaeolithic (?),1,invalid,1,no,,Flint,none,1.8,none,,Burin on Oblique Truncation;,,Me`arat ha-Gulgolet,Lower Palaeolithic (?)
1860,Nahal Zin,Upper Palaeolithic,1,invalid,1,no,,Flint,none,2.9,none,,Burin on Oblique Truncation;,,Nahal Zin,Upper Palaeolithic
1861,Nahal Zin,Upper Palaeolithic,1,invalid,1,no,,Flint,none,3,none,,Burin on Straight Truncation;,,Nahal Zin,Upper Palaeolithic
1862,Bet She'an- T.,Late Roman,0,invalid,1,no,,Limestone,61.5,none,none,,"Bust;Female Image, Inscribed, Greek",,Bet She'an- T.,Late Roman
1863,Ashqelon- T. Ashqelon,Late Roman,2,289,1,yes,,Marble,75,none,none,,Bust;Female Image,,אזור  אשקלון  Ashkelon  area,Late Roman
1864,Samaria,Roman,1,218,1,yes,,Marble,58,none,none,,Bust;Male Image,,Samaria,Roman
1865,Ha-Gosherim,Pre-Ghassulian Chalcolithic,1,15,1,yes,,Limestone,none,none,none,,Stamp Seal;Button (use unknown);,,Ha-Gosherim- Nili (north),Pre-Ghassulian Chalcolithic
1866,Jerusalem- Old City- Jewish Quarter- Area F- M,Late Hellenistic - Early Roman,0,38,1,yes,,Bone,none,none,none,,Button (use unknown);,,Jerusalem- Old City- Jewish Quarter- Area F- M,Late Hellenistic - Early Roman
1867,`Atlit,Crusader,0,94,1,yes,,"Bone,Iron (material)",none,none,none,,Button (use unknown);Engraved,,`Atlit,Crusader
